10公里 10gongli 1gl
蕉溪 jiaoxi jx
角美 jiaomei jm
揭阳 jieyang jy
街基 jieji jj
介休 jiexiu jx
介休东 jiexiudong jxd
界山 jieshan js
界首市 jieshoushi jss
金宝屯 jinbaotun jbt
金昌 jinchang jc
金场堡 jinchangbao jcb
金城江 jinchengjiang jcj
金刚沱 jingangtuo jgt
金沟屯 jingoutun jgt
金河 jinhe jh
金华南 jinhuanan jhn
金华 jinhua jh
金鸡村 jinjicun jjc
金家店 jinjiadian jjd
金坑 jinkeng jk
金口河 jinkouhe jkh
金林 jinlin jl
金马村 jinmacun jmc
金沙岗 jinshagang jsg
金沙湾 jinshawan jsw
金山北 jinshanbei jsb
金山屯 jinshantun jst
金山湾 jinshanwan jsw
金山卫 jinshanwei jsw
金山园区 jinshanyuanqu jsyq
金堂 jintang jt
金银潭 jinyintan jyt
金月湾 jinyuewan jyw
金寨 jinzhai jz
金杖子 jinzhangzi jzz
金钟 jinzhong jz
金州 jinzhou jz
金珠 jinzhu jz
锦和 jinhe jh
锦河 jinhe jh
锦界 jinjie jj
锦州 jinzhou jz
锦州南 jinzhounan jzn
进贤 jinxian jx
进贤南 jinxiannan jxn
劲松 jingsong js
晋城 jincheng jc
晋城北 jinchengbei jcb
晋江 jinjiang jj
晋中 jinzhong jz
晋州 jinzhou jz
缙云 jinyun jy
京山 jingshan js
泾川 jingchuan jc
泾县 jingxian jx
经久 jingjiu jj
经棚 jingpeng jp
荆门 jingmen jm
荆州 jingzhou jz
旌德 jingde jd
精河南 jinghenan jhn
井店 jingdian jd
井冈山 jinggangshan jgs
井陉 jingxing jx
井南 jingnan jn
景德镇 jingdezhen jdz
景泰 jingtai jt
敬梓场 jingzichang jzc
靖边 jingbian jb
靖西 jingxi jx
靖宇 jingyu jy
靖远 jingyuan jy
靖远西 jingyuanxi jyx
靖州 jingzhou jz
静海 jinghai jh
静岭 jingling jl
镜铁山 jingtieshan jts
九江 jiujiang jj
九郎山 jiulangshan jls
九龙塘 jiulongtang jlt
九三 jiusan js
九台 jiutai jt
九台南 jiutainan jtn
九营 jiuying jy
酒泉 jiuquan jq
酒泉南 jiuquannan jqn
旧庙 jiumiao jm
旧庄窝 jiuzhuangwo jzw
旧庄窝东 jiuzhuangwodong jzwd
莒南 junan jn
莒县 juxian jx
巨宝 jubao jb
巨亭 juting jt
巨野 juye jy
句容西 jurongxi jrx
聚源 juyuan jy
鄄城 juancheng jc
军粮城北 junliangchengbei jlcb
峻德 junde jd
喀喇其 kalaqi klq
喀什 kashi ks
卡路屯 kalutun klt
卡伦 kalun kl
开安 kaian ka
开道 kaidao kd
开封 kaifeng kf
开封北 kaifengbei kfb
开江 kaijiang kj
开鲁 kailu kl
开通 kaitong kt
开原 kaiyuan ky
开原西 kaiyuanxi kyx
凯北 kaibei kb
凯里 kaili kl
康城 kangcheng kc
康金井 kangjinjing kjj
康庄 kangzhuang kz
柯柯 keke kk
岢岚 kelan kl
克东 kedong kd
克拉玛依 kelamayi klmy
克山 keshan ks
克一河 keyihe kyh
孔家沟 kongjiagou kjg
孔滩 kongtan kt
孔庄 kongzhuang kz
口前 kouqian kq
口头 koutou kt
库车 kuche kc
库都尔 kudouer kde
库尔勒 kuerlei kel
库伦 kulun kl
宽甸 kuandian kd
宽沟 kuangou kg
奎山 kuishan ks
奎屯 kuitun kt
葵潭 kuitan kt
昆都仑召 kundoulunzhao kdlz
昆明 kunming km
昆山南 kunshannan ksn
昆山 kunshan ks
昆阳 kunyang ky
拉白 labai lb
拉古 lagu lg
拉哈 laha lh
拉拉屯 lalatun llt
拉林 lalin ll
拉萨 lasa ls
拉鲊 lazha lz
砬子河 lazihe lzh
喇嘛甸 lamadian lmd
喇嘛山 lamashan lms
来宾 laibin lb
来宾北 laibinbei lbb
莱芜东 laiwudong lwd
莱芜西 laiwuxi lwx
莱西 laixi lx
莱西北 laixibei lxb
莱阳 laiyang ly
涞源 laiyuan ly
濑湍 laituan lt
兰岗 langang lg
兰考 lankao lk
兰考南 lankaonan lkn
兰棱 lanleng ll
兰陵北 lanlingbei llb
兰岭 lanling ll
兰溪 lanxi lx
兰州 lanzhou lz
兰州东 lanzhoudong lzd
兰州新区 lanzhouxinqu lzxq
蓝村 lancun lc
滥坝 lanba lb
狼尾山 langweishan lws
狼窝铺 langwopu lwp
阆中 langzhong lz
廊坊北 langfangbei lfb
廊坊 langfang lf
朗乡 langxiang lx
老边 laobian lb
老城镇 laochengzhen lcz
老府 laofu lf
老锅厂 laoguochang lgc
老莱 laolai ll
老岭 laoling ll
老罗堡 laoluobao llb
老松岭 laosongling lsl
老王洞 laowangdong lwd
老羊壕 laoyanghao lyh
老爷岭 laoyeling lyl
老营 laoying ly
乐坝 leba lb
乐昌 lechang lc
乐昌东 lechangdong lcd
乐东 ledong ld
乐都 ledou ld
乐都南 ledounan ldn
乐平市 lepingshi lps
乐清 yueqing yq
乐山 leshan ls
乐山 leshan ls
乐善村 leshancun lsc
乐素河 lesuhe lsh
乐武 lewu lw
乐跃 leyue ly
雷锋路 leifenglu lfl
雷州 leizhou lz
耒阳 leiyang ly
耒阳西 leiyangxi lyx
冷水 lengshui ls
冷水江东 lengshuijiangdong lsjd
离堆公园 liduigongyuan ldgy
梨树湾 lishuwan lsw
梨树镇 lishuzhen lsz
黎城 licheng lc
黎塘 litang lt
礼泉 liquan lq
李家 lijia lj
李家坪 lijiaping ljp
李家屯 lijiatun ljt
李石寨 lishizhai lsz
李市镇 lishizhen lsz
李旺 liwang lw
李子沟 lizigou lzg
里木店 limudian lmd
澧县 lixian lx
醴陵 liling ll
醴陵东 lilingdong lld
立志 lizhi lz
丽江 lijiang lj
丽水 lishui ls
励家 lijia lj
利川 lichuan lc
利津南 lijinnan ljn
沥林北 lilinbei llb
溧水 lishui ls
溧阳 liyang ly
连湖 lianhu lh
连江 lianjiang lj
连山关 lianshanguan lsg
连云港东 lianyungangdong lygd
连云港 lianyungang lyg
连珠山 lianzhushan lzs
莲东 liandong ld
莲花山 lianhuashan lhs
莲江口 lianjiangkou ljk
莲塘 liantang lt
涟源 lianyuan ly
联合乡 lianhexiang lhx
廉江 lianjiang lj
良各庄 lianggezhuang lgz
凉红 lianghong lh
凉水井 liangshuijing lsj
凉雾 liangwu lw
梁底下 liangdixia ldx
梁平 liangping lp
梁平南 liangpingnan lpn
梁山 liangshan ls
两当 liangdang ld
两家 liangjia lj
亮兵台 liangbingtai lbt
亮甲店 liangjiadian ljd
辽阳 liaoyang ly
辽源 liaoyuan ly
辽中 liaozhong lz
聊城 liaocheng lc
林东 lindong ld
林海 linhai lh
林家台 linjiatai ljt
林口 linkou lk
林盛堡 linshengbao lsb
林西 linxi lx
林源 linyuan ly
林子头 linzitou lzt
临城 lincheng lc
临汾 linfen lf
临汾西 linfenxi lfx
临高南 lingaonan lgn
临海 linhai lh
临河 linhe lh
临江 linjiang lj
临江场 linjiangchang ljc
临江寺 linjiangsi ljs
临江溪 linjiangxi ljx
临澧 linli ll
临清 linqing lq
临水 linshui ls
临湘 linxiang lx
临沂 linyi ly
临沂北 linyibei lyb
临邑 linyi ly
临颍 linying ly
临泽 linze lz
临泽南 linzenan lzn
临淄 linzi lz
蔺家楼 linjialou ljl
蔺市 linshi ls
灵宝 lingbao lb
灵宝西 lingbaoxi lbx
灵璧 lingbi lb
灵丘 lingqiu lq
灵山 lingshan ls
灵石 lingshi ls
灵石东 lingshidong lsd
灵武 lingwu lw
灵仙庙 lingxianmiao lxm
凌海 linghai lh
凌源 lingyuan ly
凌源东 lingyuandong lyd
陵城 lingcheng lc
陵丘 lingqiu lq
陵水 lingshui ls
零陵 lingling ll
岭北 lingbei lb
岭南 lingnan ln
刘沟 liugou lg
刘家村 liujiacun ljc
刘家店 liujiadian ljd
刘家沟 liujiagou ljg
刘家河 liujiahe ljh
刘屯 liutun lt
刘征 liuzheng lz
留庄 liuzhuang lz
流水沟 liushuigou lsg
柳沟 liugou lg
柳河 liuhe lh
柳江 liujiang lj
柳林南 liulinnan lln
柳毛 liumao lm
柳毛沟 liumaogou lmg
柳树 liushu ls
柳树屯 liushutun lst
柳园 liuyuan ly
柳园南 liuyuannan lyn
柳州 liuzhou lz
六安 luan la
六道河 liudaohe ldh
六道河子 liudaohezi ldhz
六地沟 liudigou ldg
六个鸡 liugeji lgj
六合镇 liuhezhen lhz
六盘山 liupanshan lps
六盘水 liupanshui lps
六盘水南 liupanshuinan lpsn
六枝 liuzhi lz
龙伯屯 longbotun lbt
龙池 longchi lc
龙川 longchuan lc
龙船 longchuan lc
龙丰 longfeng lf
龙沟 longgou lg
龙骨甸 longgudian lgd
龙华 longhua lh
龙家堡 longjiabao ljb
龙嘉 longjia lj
龙江 longjiang lj
龙井 longjing lj
龙里 longli ll
龙门河 longmenhe lmh
龙南 longnan ln
龙泉寺 longquansi lqs
龙山镇 longshanzhen lsz
龙市 longshi ls
龙潭寺 longtansi lts
龙塘坝 longtangba ltb
龙岩 longyan ly
龙游 longyou ly
龙爪沟 longzhaogou lzg
龙镇 longzhen lz
隆安东 longandong lad
隆昌 longchang lc
隆化 longhua lh
陇南 longnan ln
陇西 longxi lx
陇县 longxian lx
娄底 loudi ld
娄底南 loudinan ldn
娄山关 loushanguan lsg
卢龙 lulong ll
芦沟 lugou lg
芦家村 lujiacun ljc
芦家庄 lujiazhuang ljz
庐江 lujiang lj
庐山 lushan ls
胪滨 lubin lb
鲁番 lufan lf
鲁河 luhe lh
鲁山 lushan ls
陆川 luchuan lc
陆丰 lufeng lf
陆良 luliang ll
鹿道 ludao ld
鹿寨 luzhai lz
鹿寨北 luzhaibei lzb
禄丰南 lufengnan lfn
路口铺 lukoupu lkp
潞城 lucheng lc
露水河 lushuihe lsh
滦河沿 luanheyan lhy
滦河 luanhe lh
滦平 luanping lp
滦县东 luanxiandong lxd
滦县 luanxian lx
轮台 luntai lt
罗城 luocheng lc
罗平 luoping lp
罗山 luoshan ls
罗田 luotian lt
罗源 luoyuan ly
螺山 luoshan ls
洛门 luomen lm
洛阳 luoyang ly
洛阳东 luoyangdong lyd
骆驼巷 luotuoxiang ltx
珞璜 luohuang lh
落坡岭 luopoling lpl
漯河 tahe th
漯河西 tahexi thx
吕梁 lvliang ll
旅顺 lvshun ls
绿博园 lvboyuan lby
绿化 lvhua lh
绿潭 lvtan lt
略阳 lveyang ly
麻城 macheng mc
麻城北 machengbei mcb
麻江 majiang mj
麻柳 maliu ml
麻山 mashan ms
麻斯塔拉 masitala mstl
麻旺 mawang mw
麻尾 mawei mw
麻阳 mayang my
马鞍山 maanshan mas
马嘎 maga mg
马盖图 magaitu mgt
马海 mahai mh
马架子 majiazi mjz
马街 majie mj
马兰 malan ml
马莲河 malianhe mlh
马林 malin ml
马柳 maliu ml
马龙 malong ml
马铺营 mapuying mpy
马桥河 maqiaohe mqh
马三家 masanjia msj
马蹄湾 matiwan mtw
马田墟 matianxu mtx
玛纳斯 manasi mns
满归 mangui mg
满洲里 manzhouli mzl
漫流河 manliuhe mlh
毛坝 maoba mb
毛坝关 maobaguan mbg
毛陈 maochen mc
茅草坪 maocaoping mcp
茂林 maolin ml
茂名 maoming mm
茂名西 maomingxi mmx
茂舍祖 maoshezu msz
帽儿山 maoershan mes
眉山 meishan ms
眉山东 meishandong msd
梅河口 meihekou mhk
梅花山 meihuashan mhs
梅江 meijiang mj
梅州 meizhou mz
梅子铺 meizipu mzp
煤田 meitian mt
美岱召 meidaizhao mdz
美兰 meilan ml
美溪 meixi mx
门达 menda md
门源 menyuan my
蒙渡 mengdu md
蒙根塔拉 menggentala mgtl
蒙克山 mengkeshan mks
蒙自 mengzi mz
蒙自北 mengzibei mzb
猛洞河 mengdonghe mdh
孟家岗 mengjiagang mjg
孟津 mengjin mj
弥渡 midu md
弥勒 mile ml
米沙子 mishazi msz
米易 miyi my
米脂 mizhi mz
汨罗 miluo ml
汨罗东 miluodong mld
密山 mishan ms
密山西 mishanxi msx
密云北 miyunbei myb
绵阳 mianyang my
免渡河 mianduhe mdh
勉县 mianxian mx
冕宁 mianning mn
冕山 mianshan ms
渑池 mianchi mc
渑池南 mianchinan mcn
庙城 miaocheng mc
庙宫 miaogong mg
庙岭 miaoling ml
庙山 miaoshan ms
庙台子 miaotaizi mtz
庙阳 miaoyang my
庙庄 miaozhuang mz
庙子沟 miaozigou mzg
民福寺 minfusi mfs
民和南 minhenan mhn
民家 minjia mj
民乐 minyue my
民权 minquan mq
民权北 minquanbei mqb
民族 minzu mz
岷县 minxian mx
闵集 minji mj
闽清北 minqingbei mqb
明安 mingan ma
明城 mingcheng mc
明港 minggang mg
明港东 minggangdong mgd
明光 mingguang mg
明水河 mingshuihe msh
明珠 mingzhu mz
磨刀石 modaoshi mds
磨盘山 mopanshan mps
磨滩 motan mt
磨溪 moxi mx
莫尔道嘎 moerdaoga medg
漠河 mohe mh
墨池坝 mochiba mcb
墨冲 mochong mc
墨玉 moyu my
牟平 muping mp
木里图 mulitu mlt
木头营子 mutouyingzi mtyz
木竹河 muzhuhe mzh
沐滂 mupang mp
牧原 muyuan my
暮云 muyun my
穆棱 muleng ml
那曲 naqu nq
那玉 nayu ny
乃林 nailin nl
奈曼 naiman nm
南岸坝 nananba nab
南博山 nanboshan nbs
南部 nanbu nb
南岔 nancha nc
南昌 nanchang nc
南昌西 nanchangxi ncx
南陈铺 nanchenpu ncp
南城 nancheng nc
南城司 nanchengsi ncs
南充 nanchong nc
南充北 nanchongbei ncb
南充东 nanchongdong ncd
南仇 nanchou nc
南大庙 nandamiao ndm
南丹 nandan nd
南甸村 nandiancun ndc
南尔岗 nanergang neg
南芬 nanfen nf
南芬北 nanfenbei nfb
南丰 nanfeng nf
南宫东 nangongdong ngd
南沟 nangou ng
南关岭 nanguanling ngl
南观村 nanguancun ngc
南河川 nanhechuan nhc
南湖东 nanhudong nhd
南华北 nanhuabei nhb
南江口 nanjiangkou njk
南峧 nanjiao nj
南京 nanjing nj
南靖 nanjing nj
南口前 nankouqian nkq
南口 nankou nk
南朗 nanlang nl
南陵 nanling nl
南木 nanmu nm
南宁东 nanningdong nnd
南宁西 nanningxi nnx
南票 nanpiao np
南平北 nanpingbei npb
南平南 nanpingnan npn
南桥 nanqiao nq
南山北 nanshanbei nsb
南台 nantai nt
南通 nantong nt
南头 nantou nt
南洼 nanwa nw
南洼营 nanwaying nwy
南湾子 nanwanzi nwz
南翔北 nanxiangbei nxb
南雄 nanxiong nx
南阳 nanyang ny
南峪 nanyu ny
南杂木 nanzamu nzm
南张村 nanzhangcun nzc
南召 nanzhao nz
闹海营 naohaiying nhy
讷尔克气 neerkeqi nekq
讷河 nehe nh
内江 neijiang nj
内江南 neijiangnan njn
内乡 neixiang nx
嫩江 nenjiang nj
能家 nengjia nj
尼波 nibo nb
尼勒克 nileike nlk
尼木 nimu nm
尼日 niri nr
泥河子 nihezi nhz
碾子山 nianzishan nzs
娘娘庙 niangniangmiao nnm
娘子关 niangziguan nzg
鸟岛 niaodao nd
捏掌 niezhang nz
聂河 niehe nh
宁安 ningan na
宁波东 ningbodong nbd
宁波 ningbo nb
宁德 ningde nd
宁东 ningdong nd
宁国 ningguo ng
宁海 ninghai nh
宁家 ningjia nj
宁陵县 ninglingxian nlx
宁明 ningming nm
宁武 ningwu nw
宁乡 ningxiang nx
牛耳河 niuerhe neh
牛家 niujia nj
牛家梁 niujialiang njl
牛家营子 niujiayingzi njyz
牛角山 niujiaoshan njs
牛坪子 niupingzi npz
牛心台 niuxintai nxt
牛庄 niuzhuang nz
农安 nongan na
暖泉 nuanquan nq
女儿河 nverhe neh
欧里 ouli ol
欧龙山 oulongshan ols
徘徊北 paihuaibei phb
潘家店 panjiadian pjd
攀枝花 panzhihua pzh
盘古 pangu pg
盘古寺 pangusi pgs
盘关 panguan pg
盘锦 panjin pj
盘锦北 panjinbei pjb
磐安镇 pananzhen paz
磐石 panshi ps
蟠龙镇 panlongzhen plz
泡子 paozi pz
裴德 peide pd
彭城 pengcheng pc
彭山 pengshan ps
彭山北 pengshanbei psb
彭水 pengshui ps
彭阳 pengyang py
彭泽 pengze pz
彭州 pengzhou pz
彭州南 pengzhounan pzn
蓬安 pengan pa
蓬溪 pengxi px
邳州 pizhou pz
皮口 pikou pk
皮山 pishan ps
郫县 pixian px
郫县东 pixiandong pxd
郫县西 pixianxi pxx
椑木镇 beimuzhen bmz
偏店 piandian pd
偏岭 pianling pl
瓢儿屯 piaoertun pet
平安 pingan pa
平安地 pingande pad
平安驿 pinganyi pay
平安镇 pinganzhen paz
平昌 pingchang pc
平川 pingchuan pc
平等 pingdeng pd
平顶庙 pingdingmiao pdm
平顶山 pingdingshan pds
平顶山西 pingdingshanxi pdsx
平度 pingdu pd
平坊 pingfang pf
平房 pingfang pf
平岗 pinggang pg
平关 pingguan pg
平果 pingguo pg
平河口 pinghekou phk
平湖 pinghu ph
平凉 pingliang pl
平凉南 pingliangnan pln
平罗 pingluo pl
平南南 pingnannan pnn
平泉 pingquan pq
平山 pingshan ps
平社 pingshe ps
平台 pingtai pt
平田 pingtian pt
平旺 pingwang pw
平型关 pingxingguan pxg
平洋 pingyang py
平遥 pingyao py
平遥古城 pingyaogucheng pygc
平邑 pingyi py
平峪 pingyu py
平原 pingyuan py
平原堡 pingyuanbao pyb
平庄 pingzhuang pz
平庄南 pingzhuangnan pzn
坪上 pingshang ps
坪石 pingshi ps
凭祥 pingxiang px
屏边 pingbian pb
萍乡 pingxiang px
萍乡北 pingxiangbei pxb
坡底村 podicun pdc
坡底下 podixia pdx
莆田 putian pt
葡萄菁 putaojing ptj
蒲坝 puba pb
蒲城 pucheng pc
蒲城东 puchengdong pcd
蒲家 pujia pj
濮阳 puyang py
普安 puan pa
普洱渡 puerdu ped
普济 puji pj
普兰店 pulandian pld
普宁 puning pn
普湾 puwan pw
普雄 puxiong px
普者黑 puzhehei pzh
七甸 qidian qd
七里河 qilihe qlh
七龙星 qilongxing qlx
七苏木 qisumu qsm
七台河 qitaihe qth
七营 qiying qy
戚墅堰 qishuyan qsy
齐哈日格图 qiharigetu qhrgt
齐齐哈尔南 qiqihaernan qqhen
齐岳山 qiyueshan qys
祁东 qidong qd
祁家堡 qijiabao qjb
祁门 qimen qm
祁县 qixian qx
祁县东 qixiandong qxd
祁阳 qiyang qy
岐山 qishan qs
奇峰塔 qifengta qft
棋盘 qipan qp
棋子湾 qiziwan qzw
綦江 qijiang qj
旗下营 qixiaying qxy
蕲春 qichun qc
千河 qianhe qh
千阳 qianyang qy
迁安 qianan qa
前锋 qianfeng qf
前进镇 qianjinzhen qjz
前磨头 qianmotou qmt
前山 qianshan qs
前苇塘 qianweitang qwt
前卫 qianwei qw
前窑 qianyao qy
钱家店 qianjiadian qjd
乾安 qianan qa
乾县 qianxian qx
潜江 qianjiang qj
黔江 qianjiang qj
桥北 qiaobei qb
桥头 qiaotou qt
桥湾 qiaowan qw
桥西 qiaoxi qx
茄子溪 qiezixi qzx
钦州东 qinzhoudong qzd
秦安 qinan qa
秦皇岛 qinhuangdao qhd
秦家 qinjia qj
秦家庄 qinjiazhuang qjz
秦岭 qinling ql
沁河北 qinhebei qhb
沁县 qinxian qx
沁阳 qinyang qy
青城山 qingchengshan qcs
青岛北 qingdaobei qdb
青堆 qingdui qd
青沟子 qinggouzi qgz
青海湖 qinghaihu qhh
青花 qinghua qh
青岭子 qinglingzi qlz
青龙 qinglong ql
青龙场 qinglongchang qlc
青龙山 qinglongshan qls
青山 qingshan qs
青神 qingshen qs
青水山 qingshuishan qss
青田 qingtian qt
青铜峡 qingtongxia qtx
青溪 qingxi qx
青县 qingxian qx
青州市 qingzhoushi qzs
清河城 qinghecheng qhc
清河门 qinghemen qhm
清河 qinghe qh
清涧县 qingjianxian qjx
清水 qingshui qs
清水北 qingshuibei qsb
清水沟 qingshuigou qsg
清水河 qingshuihe qsh
清水县 qingshuixian qsx
清徐 qingxu qx
清原 qingyuan qy
清远 qingyuan qy
庆安 qingan qa
庆丰 qingfeng qf
庆盛 qingsheng qs
庆阳山 qingyangshan qys
琼海 qionghai qh
秋梨沟 qiuligou qlg
秋木庄 qiumuzhuang qmz
渠旧 qujiu qj
渠黎 quli ql
渠县 quxian qx
衢州 quzhou qz
曲阜 qufu qf
曲阜东 qufudong qfd
曲家店 qujiadian qjd
曲江 qujiang qj
曲靖 qujing qj
曲靖北 qujingbei qjb
曲水 qushui qs
曲水县 qushuixian qsx
全椒 quanjiao qj
全胜 quansheng qs
全州南 quanzhounan qzn
泉阳 quanyang qy
泉沟 quangou qg
泉江 quanjiang qj
泉水屯 quanshuitun qst
泉州 quanzhou qz
泉州东 quanzhoudong qzd
确山 queshan qs
群力 qunli ql
饶平 raoping rp
饶阳 raoyang ry
绕阳河 raoyanghe ryh
热水 reshui rs
仁布 renbu rb
任丘 renqiu rq
日喀则 rikaze rkz
日照 rizhao rz
荣昌 rongchang rc
荣成 rongcheng rc
容桂 ronggui rg
容县 rongxian rx
融安 rongan ra
融水 rongshui rs
如东 rudong rd
如皋 rugao rg
汝箕沟 rujigou rjg
汝阳 ruyang ry
汝州 ruzhou rz
乳山 rushan rs
瑞安 ruian ra
瑞昌 ruichang rc
瑞昌西 ruichangxi rcx
瑞金 ruijin rj
萨拉齐 salaqi slq
赛汉塔拉 saihantala shtl
赛金桥 saijinqiao sjq
赛乌苏 saiwusu sws
赛音胡都格 saiyinhudouge syhdg
三把火 sanbahuo sbh
三道湖 sandaohu sdh
三道堰 sandaoyan sdy
三道营 sandaoying sdy
三地 sande sd
三队 sandui sd
三关口 sanguankou sgk
三合庄 sanhezhuang shz
三河县 sanhexian shx
三花石 sanhuashi shs
三汇镇 sanhuizhen shz
三家店 sanjiadian sjd
三家寨 sanjiazhai sjz
三家子 sanjiazi sjz
三间房 sanjianfang sjf
三江 sanjiang sj
三江口 sanjiangkou sjk
三江南 sanjiangnan sjn
三江县 sanjiangxian sjx
三门峡 sanmenxia smx
三门峡南 sanmenxianan smxn
三门峡西 sanmenxiaxi smxx
三门县 sanmenxian smx
三明 sanming sm
三明北 sanmingbei smb
三平 sanping sp
三十家 sanshijia ssj
三十里堡 sanshilibao sslb
三水 sanshui ss
三水北 sanshuibei ssb
三水南 sanshuinan ssn
三台 santai st
三堂集 santangji stj
三亚 sanya sy
三阳川 sanyangchuan syc
三义井 sanyijing syj
三营 sanying sy
三元坝 sanyuanba syb
三原 sanyuan sy
三源浦 sanyuanpu syp
桑根达来 sanggendalai sgdl
桑根达来东 sanggendalaidong sgdld
桑园子 sangyuanzi syz
沙城 shacheng sc
沙海 shahai sh
沙河口 shahekou shk
沙河市 shaheshi shs
沙后所 shahousuo shs
沙力 shali sl
沙岭子 shalingzi slz
沙马拉达 shamalada smld
沙坪坝 shapingba spb
沙坡头 shapotou spt
沙桥 shaqiao sq
沙沁塔拉 shaqintala sqtl
沙日乃 sharinai srn
沙沙坡 shashapo ssp
沙坨子 shatuozi stz
沙沱 shatuo st
沙湾 shawan sw
沙湾县 shawanxian swx
沙园 shayuan sy
沙子河 shazihe szh
莎车 shache sc
厦门 xiamen xm
厦门北 xiamenbei xmb
厦门高崎 xiamengaoqi xmgq
山城镇 shanchengzhen scz
山丹 shandan sd
山河屯 shanhetun sht
山坡东 shanpodong spd
山市 shanshi ss
山湾子 shanwanzi swz
山阴 shanyin sy
汕头 shantou st
汕尾 shanwei sw
鄯善 shanshan ss
鄯善北 shanshanbei ssb
商城 shangcheng sc
商都 shangdou sd
商河 shanghe sh
商洛 shangluo sl
商南 shangnan sn
商丘 shangqiu sq
商丘 shangqiu sq
商丘南 shangqiunan sqn
上安 shangan sa
上板城南 shangbanchengnan sbcn
上板城 shangbancheng sbc
上仓 shangcang sc
上店 shangdian sd
上高镇 shanggaozhen sgz
上谷 shanggu sg
上郭关 shangguoguan sgg
上海南 shanghainan shn
上海西 shanghaixi shx
上杭 shanghang sh
上街 shangjie sj
上普雄 shangpuxiong spx
上饶 shangrao sr
上万 shangwan sw
上西铺 shangxipu sxp
上腰墩 shangyaodun syd
上虞北 shangyubei syb
上虞 shangyu sy
上园 shangyuan sy
尚家 shangjia sj
尚武 shangwu sw
尚志 shangzhi sz
韶关 shaoguan sg
韶关东 shaoguandong sgd
韶山南 shaoshannan ssn
邵东 shaodong sd
邵家堂 shaojiatang sjt
邵武 shaowu sw
邵阳 shaoyang sy
邵阳北 shaoyangbei syb
绍根 shaogen sg
绍兴北 shaoxingbei sxb
绍兴 shaoxing sx
舍伯吐 shebotu sbt
舍力虎 shelihu slh
涉县 shexian sx
申家店 shenjiadian sjd
绅坊 shenfang sf
深井子 shenjingzi sjz
深圳 shenzhen sz
深圳东 shenzhendong szd
深圳坪山 shenzhenpingshan szps
深圳西 shenzhenxi szx
深州 shenzhou sz
什里店 shenlidian sld
神池 shenchi sc
神木 shenmu sm
神树 shenshu ss
神头 shentou st
神峪河 shenyuhe syh
神州 shenzhou sz
沈家 shenjia sj
沈家河 shenjiahe sjh
沈丘 shenqiu sq
沈阳东 shenyangdong syd
升昌 shengchang sc
生芝渠 shengzhiqu szq
圣浪 shenglang sl
胜芳 shengfang sf
师庄 shizhuang sz
师宗 shizong sz
狮山 shishan ss
狮山北 shishanbei ssb
施秉 shibing sb
施家嘴 shijiazui sjz
十八台 shibatai sbt
十八 shiba sb
十渡 shidu sd
十家子 shijiazi sjz
十里坪 shiliping slp
十堰 shiyan sy
石人 shiren sr
石坝 shiba sb
石板滩 shibantan sbt
石场 shichang sc
石城 shicheng sc
石河子 shihezi shz
石湖 shihu sh
石家 shijia sj
石家庄北 shijiazhuangbei sjzb
石郎庄 shilangzhuang slz
石林 shilin sl
石林南 shilinnan sln
石林西 shilinxi slx
石磷 shilin sl
石岭 shiling sl
石门村 shimencun smc
石门坎 shimenkan smk
石门县北 shimenxianbei smxb
石门子 shimenzi smz
石庙沟 shimiaogou smg
石桥镇 shiqiaozhen sqz
石桥子 shiqiaozi sqz
石泉县 shiquanxian sqx
石人城 shirencheng src
石山 shishan ss
石头 shitou st
石峡子 shixiazi sxz
石岘 shixian sx
石丫口 shiyakou syk
石长 shizhang sz
石柱槽 shizhucao szc
石柱县 shizhuxian szx
石子坝 shiziba szb
石嘴山 shizuishan szs
史家铺 shijiapu sjp
始兴 shixing sx
世博园 shiboyuan sby
首山 shoushan ss
寿阳 shouyang sy
舒城 shucheng sc
舒兰 shulan sl
疏勒 shule sl
疏勒河 shulehe slh
蜀河 shuhe sh
沭阳 shuyang sy
树木岭 shumuling sml
双安屯 shuangantun sat
双城堡 shuangchengbao scb
双城北 shuangchengbei scb
双丰 shuangfeng sf
双峰北 shuangfengbei sfb
双峰寺 shuangfengsi sfs
双凤驿 shuangfengyi sfy
双河镇 shuanghezhen shz
双吉 shuangji sj
双流 shuangliu sl
双流机场 shuangliujichang sljc
双流西 shuangliuxi slx
双龙山 shuanglongshan sls
双牌 shuangpai sp
双石桥 shuangshiqiao ssq
双水 shuangshui ss
双溪 shuangxi sx
双鸭山 shuangyashan sys
双羊店 shuangyangdian syd
双子河 shuangzihe szh
水洞 shuidong sd
水车湾 shuichewan scw
水城 shuicheng sc
水地 shuidi sd
水富 shuifu sf
水沟 shuigou sg
水花 shuihua sh
水家湖 shuijiahu sjh
水江 shuijiang sj
水泉 shuiquan sq
水源 shuiyuan sy
顺昌 shunchang sc
顺德 shunde sd
顺德学院 shundexueyuan sdxy
顺河场 shunhechang shc
顺义 shunyi sy
朔州 shuozhou sz
司家岭 sijialing sjl
四道湾 sidaowan sdw
四方台 sifangtai sft
四分滩 sifentan sft
四合 sihe sh
四合永 siheyong shy
四会 sihui sh
四马架 simajia smj
四平 siping sp
四平东 sipingdong spd
泗洪 sihong sh
泗水 sishui ss
泗县 sixian sx
泗阳 siyang sy
松坝 songba sb
